experiment,feature_set,split,feature,feature_type,mean_abs_shap
rac_all__random,rac_all,random,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.03112330542250416
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.028701828900709388
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.027383559114554996
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.027074919070461743
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-3_propagg-diff_corragg-avg_bbagg-sum,rac,0.02670133486340586
rac_all__random,rac_all,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.026104266219256583
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-1_propagg-diff_corragg-avg_bbagg-sum,rac,0.022331792603161135
rac_all__random,rac_all,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.02155059416020717
rac_all__random,rac_all,random,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.021284526565736584
rac_all__random,rac_all,random,racs_bb-nodes_prop-mod_pettifor_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.02095018270947591
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-avg_bbagg-sum,rac,0.020817291403795804
rac_all__random,rac_all,random,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.019129406641771863
rac_all__random,rac_all,random,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.017998769820861387
rac_all__random,rac_all,random,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-sum_bbagg-avg,rac,0.017647475028354252
rac_all__random,rac_all,random,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.01745839355403838
rac_all__random,rac_all,random,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-avg_bbagg-sum,rac,0.015399494251544165
rac_all__random,rac_all,random,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.015245869860204056
rac_all__random,rac_all,random,racs_bb-nodes_prop-I_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.015032383401826213
